"","V1","V2","V3"
"807.9167",807.9167,0.00215,-0.0387
"807.9444",807.9444,0.00205,-0.0369
"807.9722",807.9722,0.001975,-0.03555
"808",808,0.0019,-0.0342
"808.0278",808.0278,0.001825,-0.03285
"808.0556",808.0556,0.00175,-0.0315
"808.0833",808.0833,0.001675,-0.03015
"808.1111",808.1111,0.0016,-0.0288
"808.1389",808.1389,0.00155,-0.0279
"808.1667",808.1667,0.001475,-0.02655
"808.1944",808.1944,0.001425,-0.02565
"808.2222",808.2222,0.00135,-0.0243
"808.25",808.25,0.0013,-0.0234
"808.2778",808.2778,0.00125,-0.0225
"808.3056",808.3056,0.0012,-0.0216
"808.3333",808.3333,0.00115,-0.0207
"808.3611",808.3611,0.0011,-0.0198
"808.3889",808.3889,0.00105,-0.0189
"808.4167",808.4167,0.001025,-0.01845
"808.4444",808.4444,0.000975,-0.01755
"808.4722",808.4722,0.000925,-0.01665
"808.5",808.5,9e-04,-0.0162
"808.5278",808.5278,0.00085,-0.0153
"808.5556",808.5556,0.000825,-0.01485
"808.5833",808.5833,8e-04,-0.0144
"808.6111",808.6111,0.00075,-0.0135
"808.6389",808.6389,0.000725,-0.01305
"808.6667",808.6667,7e-04,-0.0126
"808.6944",808.6944,0.000675,-0.01215
"808.7222",808.7222,0.00065,-0.0117
"808.75",808.75,0.000625,-0.01125
"808.7778",808.7778,6e-04,-0.0108
"808.8056",808.8056,0.000575,-0.01035
"808.8333",808.8333,0.00055,-0.0099
"808.8611",808.8611,0.000525,-0.00945
"808.8889",808.8889,5e-04,-0.009
"808.9167",808.9167,0.000475,-0.00855
"808.9444",808.9444,0.00045,-0.0081
"808.9722",808.9722,0.00045,-0.0081
"809",809,0.000425,-0.00765
"809.0278",809.0278,4e-04,-0.0072
"809.0556",809.0556,4e-04,-0.0072
"809.0833",809.0833,0.000375,-0.00675
"809.1111",809.1111,0.00035,-0.0063
"809.1389",809.1389,0.00035,-0.0063
"809.1667",809.1667,0.000325,-0.00585
"809.1944",809.1944,0.000325,-0.00585
"809.2222",809.2222,3e-04,-0.0054
"809.25",809.25,3e-04,-0.0054
"809.2778",809.2778,0.000275,-0.00495
"809.3056",809.3056,0.000275,-0.00495
"809.3333",809.3333,0.00025,-0.0045
"809.3611",809.3611,0.00025,-0.0045
"809.3889",809.3889,0.000225,-0.00405
"809.4167",809.4167,0.000225,-0.00405
"809.4444",809.4444,0,0
"809.4722",809.4722,0,0
"809.5",809.5,0,0
"809.5278",809.5278,0,0
"809.5556",809.5556,0,0
"809.5833",809.5833,0,0
"809.6111",809.6111,0,0
"809.6389",809.6389,0,0
"809.6667",809.6667,0,0
"809.6944",809.6944,0,0
"809.7222",809.7222,0,0
"809.75",809.75,0,0
"809.7778",809.7778,0,0
"809.8056",809.8056,0,0
"809.8333",809.8333,0,0
"809.8611",809.8611,0,0
"809.8889",809.8889,0,0
"809.9167",809.9167,0,0
"809.9444",809.9444,0,0
"809.9722",809.9722,0,0
"810",810,0,0
"810.0278",810.0278,0,0
"810.0556",810.0556,0,0
"810.0833",810.0833,0,0
"810.1111",810.1111,0,0
"810.1389",810.1389,0,0
"810.1667",810.1667,0,0
"810.1944",810.1944,0,0
"810.2222",810.2222,0,0
"810.25",810.25,0,0
"810.2778",810.2778,0,0
"810.3056",810.3056,0,0
"810.3333",810.3333,0,0
"810.3611",810.3611,0,0
"810.3889",810.3889,0,0
"810.4167",810.4167,0,0
"810.4444",810.4444,0,0
"810.4722",810.4722,0,0
"810.5",810.5,0,0
"810.5278",810.5278,0,0
"810.5556",810.5556,0,0
"810.5833",810.5833,0,0
"810.6111",810.6111,0,0
"810.6389",810.6389,0,0
"810.6667",810.6667,0,0
"810.6944",810.6944,0,0
"810.7222",810.7222,0,0
"810.75",810.75,0,0
"810.7778",810.7778,0,0
"810.8056",810.8056,0,0
"810.8333",810.8333,0,0
"810.8611",810.8611,0,0
"810.8889",810.8889,0,0
"810.9167",810.9167,0,0
"810.9444",810.9444,0,0
"810.9722",810.9722,0,0
"811",811,0,0
"811.0278",811.0278,0,0
"811.0556",811.0556,0,0
"811.0833",811.0833,0,0
"811.1111",811.1111,0,0
"811.1389",811.1389,0,0
"811.1667",811.1667,0,0
"811.1944",811.1944,0,0
"811.2222",811.2222,0,0
"811.25",811.25,0,0
"811.2778",811.2778,0,0
"811.3056",811.3056,0,0
"811.3333",811.3333,0,0
"811.3611",811.3611,0,0
"811.3889",811.3889,0,0
"811.4167",811.4167,0,0
"811.4444",811.4444,0,0
"811.4722",811.4722,0,0
"811.5",811.5,0,0
"811.5278",811.5278,0,0
"811.5556",811.5556,0,0
"811.5833",811.5833,0,0
"811.6111",811.6111,0,0
"811.6389",811.6389,0,0
"811.6667",811.6667,0,0
"811.6944",811.6944,0,0
"811.7222",811.7222,0,0
