Year,Source ,GREENLAND,GREENLAND,ANTARCTICA,ANTARCTICA,Global volcanic forcing (GVF),GVF,"Global forcing (Crowley 2013) (time-integrated, large tropical eruptions, 1600-2000)",
CE,"1, tropical; 2, NH; 3 SH",Sulfate [kg km-2],estimated uncertainty [kg km-2],Sulfate [kg km-2],estimated uncertainty [kg km-2],W [m-2],estimated uncertainty [W m-2],CE,W [m-2]
-331,2,7.4,1.9,,,-0.84,-0.31,,
-339,2,11.5,3.0,,,-1.31,-0.47,,
-346,1,14.8,3.9,5.4,1.4,-4.04,-1.31,,
-352,2,7.2,1.9,,,-0.83,-0.30,,
-356,1,23.1,6.1,8.9,2.3,-6.40,-2.06,,
-362,1,8.4,2.2,,,-1.68,-0.61,,
-376,3,,,5.3,1.4,-1.06,-0.38,,
-385,2,9.2,2.4,,,-1.05,-0.38,,
-392,1,24.7,6.5,9.6,2.5,-6.86,-2.21,,
-396,2,13.3,3.5,,,-1.52,-0.55,,
-403,2,5.0,1.3,,,-0.57,-0.21,,
-413,2,4.7,1.2,,,-0.54,-0.19,,
-418,2,4.9,1.3,,,-0.55,-0.20,,
-426,1,99.8,26.2,78.2,20.5,-35.64,-11.13,,
-430,1,6.8,1.8,,,-1.37,-0.50,,
-434,1,17.9,4.7,4.6,1.2,-4.49,-1.48,,
-465,1,17.8,4.7,7.9,2.1,-5.14,-1.64,,
-478,1,4.9,1.3,5.0,1.3,-1.97,-0.61,,
-487,2,5.4,1.4,,,-0.61,-0.22,,
-491,1,24.5,6.4,3.8,1.0,-5.66,-1.92,,
