Orbital parameters for the last 2000 years to 2100 AD (Berger, 1978)
(Slightly higher precision than the calculation in the reference)

This file is available on
	https://pmip3.lsce.ipsl.fr/wiki/doku.php/pmip3:design:lm:index

Year   = Common Era (CE or AD)
ECCEN  = eccentricity of orbital ellipse
OBLIQ  = latitude of Tropic of Cancer in degrees
PERI   = longitude of perihelion 

       = spatial angle from vernal equinox to perihelion in degrees
         with sun as angle vertex

Note that for the period 0-2100 CE, the changes in orbital parameters
are well approximated by linear regressions:

ECCEN    = 0.017475 - 0.000000382 * Year
OBLIQ    = 23.697   - 0.000128    * Year
PERI-180 = 68.79    + 0.0170      * Year

  Year    ECCEN       OBLIQ       PERI-180
   377   0.0173299   23.648442    75.21481
   378   0.0173295   23.648316    75.23179
   379   0.0173291   23.648191    75.24877
   380   0.0173288   23.648065    75.26575
   381   0.0173284   23.647940    75.28273
   382   0.0173281   23.647814    75.29971
   383   0.0173277   23.647688    75.31669
   384   0.0173273   23.647563    75.33367
   385   0.0173270   23.647437    75.35065
   386   0.0173266   23.647311    75.36763
   387   0.0173262   23.647186    75.38461
   388   0.0173259   23.647060    75.40159
   389   0.0173255   23.646934    75.41858
   390   0.0173251   23.646809    75.43556
   391   0.0173248   23.646683    75.45254
   392   0.0173244   23.646557    75.46952
   393   0.0173240   23.646432    75.48650
   394   0.0173237   23.646306    75.50348
   395   0.0173233   23.646180    75.52047
   396   0.0173229   23.646055    75.53745
   397   0.0173226   23.645929    75.55443
   398   0.0173222   23.645803    75.57141
   399   0.0173218   23.645678    75.58839
   400   0.0173215   23.645552    75.60538
   401   0.0173211   23.645426    75.62236
   402   0.0173207   23.645300    75.63934
   403   0.0173204   23.645175    75.65632
   404   0.0173200   23.645049    75.67331
   405   0.0173196   23.644923    75.69029
   406   0.0173193   23.644797    75.70727
   407   0.0173189   23.644672    75.72425
   408   0.0173185   23.644546    75.74124
   409   0.0173182   23.644420    75.75822
   410   0.0173178   23.644294    75.77520
   411   0.0173174   23.644169    75.79219
   412   0.0173171   23.644043    75.80917
   413   0.0173167   23.643917    75.82615
   414   0.0173163   23.643791    75.84314
   415   0.0173160   23.643665    75.86012
   416   0.0173156   23.643540    75.87711
   417   0.0173153   23.643414    75.89409
   418   0.0173149   23.643288    75.91107
   419   0.0173145   23.643162    75.92806
   420   0.0173142   23.643036    75.94504
   421   0.0173138   23.642910    75.96203
   422   0.0173134   23.642785    75.97901
   423   0.0173131   23.642659    75.99599
   424   0.0173127   23.642533    76.01298
   425   0.0173123   23.642407    76.02996
   426   0.0173120   23.642281    76.04695
   427   0.0173116   23.642155    76.06393
   428   0.0173112   23.642029    76.08092
   429   0.0173109   23.641904    76.09790
   430   0.0173105   23.641778    76.11489
   431   0.0173101   23.641652    76.13187
   432   0.0173098   23.641526    76.14886
   433   0.0173094   23.641400    76.16584
   434   0.0173090   23.641274    76.18283
   435   0.0173087   23.641148    76.19982
   436   0.0173083   23.641022    76.21680
   437   0.0173079   23.640896    76.23379
   438   0.0173076   23.640771    76.25077
   439   0.0173072   23.640645    76.26776
   440   0.0173068   23.640519    76.28474
   441   0.0173065   23.640393    76.30173
   442   0.0173061   23.640267    76.31872
   443   0.0173057   23.640141    76.33570
   444   0.0173054   23.640015    76.35269
   445   0.0173050   23.639889    76.36968
   446   0.0173046   23.639763    76.38666
   447   0.0173043   23.639637    76.40365
   448   0.0173039   23.639511    76.42064
   449   0.0173035   23.639385    76.43762
   450   0.0173031   23.639259    76.45461
   451   0.0173028   23.639133    76.47160
   452   0.0173024   23.639007    76.48858
   453   0.0173020   23.638881    76.50557
   454   0.0173017   23.638755    76.52256
   455   0.0173013   23.638629    76.53954
   456   0.0173009   23.638503    76.55653
   457   0.0173006   23.638377    76.57352
   458   0.0173002   23.638251    76.59051
   459   0.0172998   23.638125    76.60749
   460   0.0172995   23.637999    76.62448
   461   0.0172991   23.637873    76.64147
   462   0.0172987   23.637747    76.65846
   463   0.0172984   23.637621    76.67545
   464   0.0172980   23.637495    76.69243
   465   0.0172976   23.637369    76.70942
   466   0.0172973   23.637243    76.72641
   467   0.0172969   23.637116    76.74340
   468   0.0172965   23.636990    76.76039
   469   0.0172962   23.636864    76.77738
   470   0.0172958   23.636738    76.79437
   471   0.0172954   23.636612    76.81135
   472   0.0172951   23.636486    76.82834
   473   0.0172947   23.636360    76.84533
   474   0.0172943   23.636234    76.86232
   475   0.0172940   23.636108    76.87931
   476   0.0172936   23.635982    76.89630
   477   0.0172932   23.635855    76.91329
   478   0.0172929   23.635729    76.93028
   479   0.0172925   23.635603    76.94727
   480   0.0172921   23.635477    76.96426
   481   0.0172918   23.635351    76.98125
   482   0.0172914   23.635225    76.99824
   483   0.0172910   23.635099    77.01523
   484   0.0172907   23.634972    77.03222
   485   0.0172903   23.634846    77.04921
   486   0.0172899   23.634720    77.06620
   487   0.0172895   23.634594    77.08319
   488   0.0172892   23.634468    77.10018
   489   0.0172888   23.634342    77.11717
   490   0.0172884   23.634215    77.13416
   491   0.0172881   23.634089    77.15115
   492   0.0172877   23.633963    77.16814
   493   0.0172873   23.633837    77.18513
   494   0.0172870   23.633711    77.20212
   495   0.0172866   23.633584    77.21911
   496   0.0172862   23.633458    77.23610
   497   0.0172859   23.633332    77.25310
   498   0.0172855   23.633206    77.27009
   499   0.0172851   23.633079    77.28708
   500   0.0172848   23.632953    77.30407
   501   0.0172844   23.632827    77.32106
   502   0.0172840   23.632701    77.33805
   503   0.0172837   23.632574    77.35504
   504   0.0172833   23.632448    77.37204
   505   0.0172829   23.632322    77.38903
   506   0.0172826   23.632196    77.40602
   507   0.0172822   23.632069    77.42301
   508   0.0172818   23.631943    77.44000
   509   0.0172814   23.631817    77.45700
   510   0.0172811   23.631690    77.47399
   511   0.0172807   23.631564    77.49098
   512   0.0172803   23.631438    77.50797
   513   0.0172800   23.631312    77.52497
   514   0.0172796   23.631185    77.54196
   515   0.0172792   23.631059    77.55895
   516   0.0172789   23.630933    77.57594
   517   0.0172785   23.630806    77.59294
   518   0.0172781   23.630680    77.60993
   519   0.0172778   23.630554    77.62692
   520   0.0172774   23.630427    77.64392
   521   0.0172770   23.630301    77.66091
   522   0.0172767   23.630175    77.67790
   523   0.0172763   23.630048    77.69490
   524   0.0172759   23.629922    77.71189
   525   0.0172755   23.629795    77.72888
   526   0.0172752   23.629669    77.74588
   527   0.0172748   23.629543    77.76287
   528   0.0172744   23.629416    77.77987
   529   0.0172741   23.629290    77.79686
   530   0.0172737   23.629164    77.81385
   531   0.0172733   23.629037    77.83085
   532   0.0172730   23.628911    77.84784
